,x,y,label
0,0.56,1.90,1
1,0.01,0.90,-1
2,1.07,2.00,1
3,1.15,1.99,1
4,0.20,1.60,-1
5,0.00,0.94,-1
6,1.00,0.00,1
7,1.95,0.69,-1
8,0.20,0.39,-1
9,1.24,0.03,1
10,1.98,1.22,-1
11,0.73,0.04,1
12,0.59,1.91,1
13,1.94,0.66,-1
14,0.18,1.57,-1
15,1.13,1.99,1
16,0.93,0.00,1
17,0.24,0.35,-1
18,1.87,1.50,-1
19,0.05,1.32,-1
20,0.85,0.01,1
21,0.03,0.76,-1
22,1.92,0.60,-1
23,0.11,0.54,-1
24,0.06,0.65,-1
25,1.37,0.07,1
26,1.09,2.00,1
27,0.11,1.46,-1
28,1.22,1.97,1
29,1.25,0.03,1
30,0.19,1.59,-1
31,0.31,1.72,1
32,0.24,0.35,-1
33,0.72,0.04,1
34,1.98,0.80,-1
35,1.49,1.87,1
36,0.34,0.24,1
37,1.55,1.83,1
38,1.96,1.27,-1
39,1.99,0.85,-1
40,1.01,2.00,1
41,0.80,1.98,1
42,0.13,1.49,-1
43,1.92,0.60,-1
44,1.96,0.73,-1
45,0.81,0.02,1
46,1.93,0.64,-1
47,1.30,0.04,1
48,1.63,0.22,1
49,1.99,1.10,-1
50,0.10,1.44,-1
51,1.72,1.70,-1
52,1.80,1.60,-1
53,0.35,0.24,1
54,1.15,1.99,1
55,1.50,0.13,1
56,1.94,1.35,-1
57,1.11,1.99,1
58,1.42,0.09,1
59,1.96,0.73,-1
60,0.67,0.06,1
61,0.05,1.32,-1
62,0.58,1.91,1
63,1.10,0.00,1
64,0.89,0.01,1
65,1.67,1.74,1
66,0.02,1.20,-1
67,0.10,0.56,-1
68,0.97,0.00,1
69,0.12,1.47,-1
70,1.30,0.05,1
71,1.87,0.50,-1
72,1.19,1.98,1
73,1.70,0.28,1
74,1.98,0.80,-1
75,2.00,0.90,-1
76,0.39,0.21,1
77,0.00,0.99,-1
78,1.58,0.18,1
79,0.35,0.24,1
80,1.97,1.25,-1
81,0.70,1.95,1
82,1.77,0.36,-1
83,0.19,0.41,-1
84,1.79,1.61,-1
85,0.11,0.55,-1
86,0.14,1.50,-1
87,1.93,0.64,-1
88,1.96,0.73,-1
89,0.98,2.00,1
90,1.97,0.74,-1
91,1.08,2.00,1
92,1.40,0.08,1
93,1.87,1.49,-1
94,0.01,0.85,-1
95,0.05,1.32,-1
96,0.70,1.95,1
97,0.05,0.69,-1
98,0.37,0.22,1
99,1.49,0.13,1
100,2.00,0.94,-1
101,1.25,1.97,1
102,0.35,1.76,1
103,1.98,0.79,-1
104,1.23,0.03,1
105,2.00,1.08,-1
106,1.99,0.88,-1
107,0.86,1.99,1
108,1.83,1.56,-1
109,1.41,1.91,1
110,1.87,1.49,-1
111,0.95,2.00,1
112,0.50,1.87,1
113,1.29,1.96,1
114,0.44,0.17,1
115,1.92,1.40,-1
116,0.24,1.65,-1
117,0.21,1.61,-1
118,0.01,1.15,-1
119,1.48,0.12,1
120,0.02,0.81,-1
121,0.82,0.02,1
122,0.21,0.39,-1
123,1.02,0.00,1
124,1.74,1.67,-1
125,0.17,1.55,-1
126,1.84,0.46,-1
127,1.24,0.03,1
128,1.40,0.08,1
129,1.37,1.93,1
130,0.70,0.05,1
131,0.68,1.95,1
132,0.07,1.36,-1
133,1.99,1.16,-1
134,1.29,1.96,1
135,1.77,1.64,-1
136,0.00,0.94,-1
137,0.51,1.87,1
138,0.60,1.92,1
139,1.70,0.29,1
140,0.01,1.17,-1
141,2.00,1.10,-1
142,0.38,1.78,1
143,1.58,0.19,1
144,1.05,2.00,1
145,0.91,0.00,1
146,0.92,0.00,1
147,0.68,0.05,1
148,2.00,0.96,-1
149,1.53,1.85,1
